day,case_by_day,death_by_day,twice_injected_by_time,residential_percent_change_from_baseline
13/9/2021,5446,228,0,19
14/9/2021,6312,199,103325,18
15/9/2021,5301,189,86175,16
16/9/2021,5735,160,103239,14
17/9/2021,5972,166,0,19
18/9/2021,4237,165,70673,19
19/9/2021,5496,182,69564,16
20/9/2021,5171,163,32516,16
21/9/2021,6521,184,44256,14
22/9/2021,5435,181,82782,12
23/9/2021,5052,175,0,11
24/9/2021,3786,140,75268,17
25/9/2021,4046,124,80460,17
26/9/2021,5121,131,187158,13
27/9/2021,4134,122,357540,13
28/9/2021,377,131,0,12
29/9/2021,4699,113,507580,11
30/9/2021,4372,106,186371,8
1/10/2021,3670,95,0,11
2/10/2021,2723,123,161727,11
3/10/2021,2461,79,226142,8
4/10/2021,2490,93,262773,7
5/10/2021,1491,104,285152,6
6/10/2021,1960,88,193638,5
7/10/2021,1730,92,120503,3
8/10/2021,2215,78,105451,8
9/10/2021,1662,74,43352,9
10/10/2021,1067,82,259245,9
11/10/2021,1527,75,0,7
12/10/2021,1018,64,52379,3
13/10/2021,1162,73,48188,3
14/10/2021,909,61,71541,1
15/10/2021,1131,61,0,6
16/10/2021,790,58,0,6
17/10/2021,1059,38,77039,4
18/10/2021,968,51,0,2
19/10/2021,907,47,80122,0
20/10/2021,1347,43,17408,-2
21/10/2021,1255,41,0,-2
22/10/2021,1205,33,36829,2
23/10/2021,749,42,19200,3
24/10/2021,966,30,10687,1
25/10/2021,969,40,0,0
26/10/2021,783,27,34432,-1
27/10/2021,1140,32,31435,-1
28/10/2021,1069,25,17383,-2
29/10/2021,977,32,0,2
30/10/2021,1042,30,10569,3
31/10/2021,1041,21,15191,1
1/11/2021,927,25,0,0
2/11/2021,682,31,28426,-1
3/11/2021,985,40,18001,-2
4/11/2021,981,28,20914,-4
5/11/2021,912,33,0,1
6/11/2021,986,32,18112,1
7/11/2021,1009,31,29812,1
8/11/2021,1316,35,11613,0
9/11/2021,1276,38,17107,0
10/11/2021,1414,43,0,-2
11/11/2021,1185,38,41022,-3
12/11/2021,1388,42,0,1
13/11/2021,1240,38,37248,2
14/11/2021,985,22,13898,2
15/11/2021,1165,45,0,0
16/11/2021,1183,35,23471,0
17/11/2021,1337,26,11282,-1
18/11/2021,1609,42,0,-3
19/11/2021,1339,55,32947,1
20/11/2021,1046,42,19687,2
21/11/2021,1265,0,10701,1
22/11/2021,1547,109,0,0
23/11/2021,1204,62,9797,0
24/11/2021,1666,62,113377,-1
25/11/2021,1582,50,120495,-3
26/11/2021,1809,51,113840,1
27/11/2021,1773,57,145420,3
28/11/2021,1454,62,0,2
29/11/2021,1554,51,86941,1
30/11/2021,1497,59,44239,1
1/12/2021,1675,61,30521,-1
2/12/2021,1738,71,0,-3
3/12/2021,1311,61,43812,1
4/12/2021,1636,64,30234,2
5/12/2021,1491,65,7181,1
6/12/2021,1174,86,0,0
7/12/2021,965,53,5412,-1
8/12/2021,1475,66,0,-2
9/12/2021,1453,64,26529,-4
10/12/2021,1226,61,4348,0
11/12/2021,1441,60,0,0
12/12/2021,1216,69,14632,0
13/12/2021,915,65,0,-2
14/12/2021,991,59,2816,-2
15/12/2021,1270,63,10849,-4
16/12/2021,1175,58,6926,-5
17/12/2021,1040,49,8081,-1
18/12/2021,1019,0,0,0
19/12/2021,1014,52,7260,0
20/12/2021,687,50,4462,-2
21/12/2021,813,46,1348,-3
22/12/2021,979,39,202060,-4
23/12/2021,787,34,0,-6
24/12/2021,679,35,10021,-2
25/12/2021,885,35,17204,-1
26/12/2021,544,32,0,0
27/12/2021,560,24,6297,-2
28/12/2021,671,29,6973,-3
29/12/2021,702,37,10981,-4
30/12/2021,697,30,11232,-6
31/12/2021,557,27,0,-3